fips,county,state,state_code,male,female,median_age,population,female_percentage,lat,long,life_expectancy,mortality_risk,all_poverty,median_hh_income,sq_miles,pct_impoverished,pop_density
1001,Autauga County,Alabama,AL,26874,28326,37.8,55200,51.31521739130434,32.534922932928126,-86.6427301373947,75.66802311,58.37361637,7444.0,54487.0,594.44,0.13485507246376813,92.86050736827939
1011,Bullock County,Alabama,AL,5663,4689,39.6,10352,45.295595054095834,32.10052546439408,-85.71567933028645,73.85905748,56.8315434,2841.0,34278.0,622.81,0.2744397217928903,16.621441531125065
1021,Chilton County,Alabama,AL,21672,22258,38.6,43930,50.666970179831544,32.847867307907556,-86.71879022444824,74.52738607,59.62526007,7960.0,44188.0,692.85,0.18119735943546553,63.40477736883885
1033,Colbert County,Alabama,AL,26075,28420,42.7,54495,52.15157353885678,34.700470938378004,-87.80492780624995,75.07178963,58.77488917,8982.0,46572.0,592.62,0.164822460776218,91.95605953224663
1035,Conecuh County,Alabama,AL,6037,6477,44.8,12514,51.758031005274105,31.429236930250138,-86.99366150725562,74.05050259,56.79679216,3464.0,29758.0,850.16,0.2768099728304299,14.719582196292464
1037,Coosa County,Alabama,AL,5501,5354,46.9,10855,49.32289267618609,32.93624304249333,-86.24766160001144,75.18827303,56.09960741,1801.0,36441.0,650.93,0.16591432519576232,16.676140291582815
1041,Crenshaw County,Alabama,AL,6814,7051,41.5,13865,50.85467003245583,31.73151850368641,-86.31354750864884,74.06851014,60.79583438,2822.0,37374.0,608.84,0.2035340786152182,22.77281387556665
1043,Cullman County,Alabama,AL,40560,41753,40.6,82313,50.72467289492547,34.1319452282297,-86.86757572060472,75.30541456,59.93032541,12133.0,41543.0,734.84,0.14740077509020447,112.01486037776931
1045,Dale County,Alabama,AL,24234,25021,37.5,49255,50.79890366460258,31.43181019122864,-85.61100443496244,76.25515737,56.11707483,9936.0,40523.0,561.15,0.201725713125571,87.77510469571416
1055,Etowah County,Alabama,AL,49651,53288,41.3,102939,51.76658020769582,34.04525667023056,-86.03476332697053,73.85404427,62.71700456,17624.0,40972.0,534.99,0.1712081912589009,192.4129422979869
