fips,EVENT_DATE,99 or less,100 to 499,500 to 999,1000 to 4999,more than 4999,unknown
24510,2020-05-24,0,0,0,0,0,1
17199,2020-05-24,1,0,0,0,0,0
39099,2020-05-24,0,0,0,0,0,1
34023,2020-05-24,1,0,0,0,0,0
36031,2020-05-24,0,0,0,0,0,1
36081,2020-05-24,1,0,0,0,0,0
36031,2020-05-24,0,0,0,0,0,1
27053,2020-05-25,0,0,0,0,0,1
17031,2020-05-25,0,1,0,0,0,0
37119,2020-05-25,1,0,0,0,0,0
21073,2020-05-25,1,0,0,0,0,0
37133,2020-05-25,0,0,0,0,0,1
42039,2020-05-25,0,1,0,0,0,0
34029,2020-05-25,0,1,0,0,0,0
25025,2020-05-25,0,0,0,0,0,1
33015,2020-05-25,1,0,0,0,0,0
04013,2020-05-25,0,0,0,0,0,1
17163,2020-05-25,0,1,0,0,0,0
27053,2020-05-26,0,0,0,1,0,0
12073,2020-05-26,0,0,0,0,0,1
26161,2020-05-26,1,0,0,0,0,0
18089,2020-05-26,0,0,0,0,0,1
26161,2020-05-26,0,0,0,0,0,1
06059,2020-05-26,1,0,0,0,0,0
48201,2020-05-26,0,0,0,0,0,1
06037,2020-05-26,0,0,0,0,0,1
42101,2020-05-26,1,0,0,0,0,0
51760,2020-05-26,0,0,0,0,0,1
18141,2020-05-26,1,0,0,0,0,0
27123,2020-05-26,0,0,0,0,0,1
27137,2020-05-26,1,0,0,0,0,0
06107,2020-05-26,1,0,0,0,0,0
17031,2020-05-26,0,0,0,0,0,1
24027,2020-05-26,1,0,0,0,0,0
26161,2020-05-26,1,0,0,0,0,0
27053,2020-05-27,0,0,0,1,0,0
41051,2020-05-27,0,0,0,0,0,1
27163,2020-05-27,0,1,0,0,0,0
26161,2020-05-27,0,0,0,0,0,1
37119,2020-05-27,1,0,0,0,0,0
12021,2020-05-27,0,0,0,0,0,1
45003,2020-05-27,1,0,0,0,0,0
27137,2020-05-27,0,1,0,0,0,0
24015,2020-05-27,1,0,0,0,0,0
06037,2020-05-27,0,0,1,0,0,0
47157,2020-05-27,1,0,0,0,0,0
36061,2020-05-27,1,0,0,0,0,0
37183,2020-05-27,1,0,0,0,0,0
06073,2020-05-27,1,0,0,0,0,0
06067,2020-05-27,1,0,0,0,0,0
42027,2020-05-27,0,0,0,0,0,1
53007,2020-05-27,1,0,0,0,0,0
29095,2020-05-27,0,0,0,0,0,1
40143,2020-05-27,1,0,0,0,0,0
36119,2020-05-27,0,0,0,0,0,1
08031,2020-05-27,0,0,0,0,0,1
27163,2020-05-27,0,0,0,0,0,1
26161,2020-05-27,0,1,0,0,0,0
26161,2020-05-27,0,1,0,0,0,0
27053,2020-05-28,0,0,0,1,0,0
25017,2020-05-28,0,0,0,0,0,1
08069,2020-05-28,0,1,0,0,0,0
08031,2020-05-28,0,0,0,0,0,1
35001,2020-05-28,0,1,0,0,0,0
39049,2020-05-28,0,1,0,0,0,0
27123,2020-05-28,0,1,0,0,0,0
26161,2020-05-28,0,0,0,0,0,1
41051,2020-05-28,0,0,0,0,0,1
19113,2020-05-28,0,0,0,0,0,1
01089,2020-05-28,0,0,0,0,0,1
41039,2020-05-28,1,0,0,0,0,0
26161,2020-05-28,0,0,0,0,0,1
06071,2020-05-28,0,1,0,0,0,0
27003,2020-05-28,1,0,0,0,0,0
27123,2020-05-28,0,0,0,0,0,1
27123,2020-05-28,0,0,0,0,0,1
06037,2020-05-28,1,0,0,0,0,0
27053,2020-05-28,0,0,0,0,0,1
29510,2020-05-28,0,1,0,0,0,0
53061,2020-05-28,0,0,0,0,0,1
27037,2020-05-28,0,0,0,0,0,1
47157,2020-05-28,0,1,0,0,0,0
27037,2020-05-28,1,0,0,0,0,0
23011,2020-05-28,1,0,0,0,0,0
48245,2020-05-28,0,1,0,0,0,0
01073,2020-05-28,0,1,0,0,0,0
27003,2020-05-28,0,0,0,0,0,1
25025,2020-05-28,1,0,0,0,0,0
12081,2020-05-28,1,0,0,0,0,0
27035,2020-05-28,1,0,0,0,0,0
17031,2020-05-28,1,0,0,0,0,0
45079,2020-05-28,1,0,0,0,0,0
27137,2020-05-28,0,1,0,0,0,0
48141,2020-05-28,1,0,0,0,0,0
41039,2020-05-28,1,0,0,0,0,0
41067,2020-05-28,1,0,0,0,0,0
42001,2020-05-28,0,0,0,0,0,1
06001,2020-05-28,1,0,0,0,0,0
26065,2020-05-28,1,0,0,0,0,0
32003,2020-05-28,0,1,0,0,0,0
32003,2020-05-28,0,0,0,0,0,1
06037,2020-05-28,0,1,0,0,0,0
21111,2020-05-28,0,0,1,0,0,0
36085,2020-05-28,1,0,0,0,0,0
06001,2020-05-28,1,0,0,0,0,0
31055,2020-05-28,1,0,0,0,0,0
04013,2020-05-28,0,1,0,0,0,0
26161,2020-05-28,0,1,0,0,0,0
42045,2020-05-28,0,0,0,0,0,1
06085,2020-05-28,0,0,0,0,0,1
06037,2020-05-28,1,0,0,0,0,0
12115,2020-05-28,0,0,0,0,0,1
27053,2020-05-28,0,0,0,0,0,1
27103,2020-05-28,0,1,0,0,0,0
06095,2020-05-28,0,1,0,0,0,0
12095,2020-05-28,1,0,0,0,0,0
29189,2020-05-28,1,0,0,0,0,0
24031,2020-05-28,0,0,0,0,0,1
47179,2020-05-28,0,0,0,0,0,1
08041,2020-05-28,0,0,0,0,0,1
48113,2020-05-28,1,0,0,0,0,0
06085,2020-05-28,0,1,0,0,0,0
36061,2020-05-28,0,1,0,0,0,0
34021,2020-05-28,1,0,0,0,0,0
23019,2020-05-28,1,0,0,0,0,0
23001,2020-05-28,1,0,0,0,0,0
23005,2020-05-28,1,0,0,0,0,0
27053,2020-05-28,0,0,0,0,0,1
27163,2020-05-28,1,0,0,0,0,0
26161,2020-05-28,0,1,0,0,0,0
37119,2020-05-29,1,0,0,0,0,0
32003,2020-05-29,1,0,0,0,0,0
06037,2020-05-29,0,0,1,0,0,0
47157,2020-05-29,0,1,0,0,0,0
06085,2020-05-29,0,0,0,0,0,1
06001,2020-05-29,0,0,0,0,0,1
04019,2020-05-29,0,1,0,0,0,0
48469,2020-05-29,1,0,0,0,0,0
36047,2020-05-29,0,0,0,1,0,0
18003,2020-05-29,0,1,0,0,0,0
18097,2020-05-29,0,0,0,0,0,1
55079,2020-05-29,0,0,0,1,0,0
27053,2020-05-29,0,0,0,0,0,1
02020,2020-05-29,0,0,0,0,0,1
56021,2020-05-29,0,0,0,0,0,1
29095,2020-05-29,0,1,0,0,0,0
31109,2020-05-29,0,0,0,0,0,1
41051,2020-05-29,0,0,0,1,0,0
06089,2020-05-29,0,0,0,0,0,1
06067,2020-05-29,0,0,0,0,0,1
35049,2020-05-29,0,1,0,0,0,0
53033,2020-05-29,0,0,0,0,0,1
48423,2020-05-29,0,0,0,0,0,1
25025,2020-05-29,0,0,0,1,0,0
08013,2020-05-29,1,0,0,0,0,0
08069,2020-05-29,0,0,1,0,0,0
18053,2020-05-29,0,0,0,0,0,1
06085,2020-05-29,0,0,0,0,0,1
09009,2020-05-29,0,0,0,0,0,1
06075,2020-05-29,0,0,0,0,0,1
48201,2020-05-29,0,0,0,0,0,1
13121,2020-05-29,0,0,0,0,0,1
06029,2020-05-29,0,0,0,0,0,1
53073,2020-05-29,0,0,0,0,0,1
17031,2020-05-29,0,0,0,1,0,0
39061,2020-05-29,0,0,0,0,0,1
48113,2020-05-29,0,0,0,0,0,1
19153,2020-05-29,0,0,0,1,0,0
26163,2020-05-29,0,0,0,1,0,0
41039,2020-05-29,0,1,0,0,0,0
51650,2020-05-29,0,0,0,0,0,1
30049,2020-05-29,0,0,0,0,0,1
20061,2020-05-29,0,0,0,0,0,1
20209,2020-05-29,0,0,0,0,0,1
55059,2020-05-29,0,0,0,0,0,1
47093,2020-05-29,0,1,0,0,0,0
21067,2020-05-29,0,0,0,0,0,1
41041,2020-05-29,0,0,0,1,0,0
21111,2020-05-29,0,0,0,0,0,1
20161,2020-05-29,0,0,0,0,0,1
06001,2020-05-29,0,0,0,0,0,1
04013,2020-05-29,0,0,0,1,0,0
29510,2020-05-29,0,0,0,1,0,0
28049,2020-05-29,0,0,0,0,0,1
28035,2020-05-29,0,1,0,0,0,0
08031,2020-05-29,0,0,0,0,0,1
27123,2020-05-29,0,0,0,0,0,1
31055,2020-05-29,0,0,0,1,0,0
19013,2020-05-29,0,1,0,0,0,0
06073,2020-05-29,1,0,0,0,0,0
01109,2020-05-29,0,0,0,0,0,1
12097,2020-05-29,0,0,0,0,0,1
22071,2020-05-29,1,0,0,0,0,0
12033,2020-05-29,0,1,0,0,0,0
13115,2020-05-29,0,0,0,0,0,1
12103,2020-05-29,0,0,0,0,0,1
12117,2020-05-29,0,0,0,0,0,1
13051,2020-05-29,0,0,0,0,0,1
05143,2020-05-29,1,0,0,0,0,0
12073,2020-05-29,0,0,0,0,0,1
39039,2020-05-29,0,0,0,0,0,1
51540,2020-05-29,1,0,0,0,0,0
11001,2020-05-29,0,0,0,1,0,0
26161,2020-05-29,0,1,0,0,0,0
26161,2020-05-29,0,0,0,0,0,1
26017,2020-05-29,0,0,0,0,0,1
35001,2020-05-29,0,0,0,0,0,1
41007,2020-05-29,0,0,0,0,0,1
13059,2020-05-29,0,0,0,0,0,1
24510,2020-05-29,0,1,0,0,0,0
51121,2020-05-29,1,0,0,0,0,0
17113,2020-05-29,1,0,0,0,0,0
29095,2020-05-29,1,0,0,0,0,0
13127,2020-05-29,0,0,0,0,0,1
39151,2020-05-29,0,0,1,0,0,0
39035,2020-05-29,0,0,0,0,0,1
48041,2020-05-29,0,0,0,0,0,1
29019,2020-05-29,0,0,1,0,0,0
39049,2020-05-29,0,0,0,0,0,1
06073,2020-05-29,0,0,0,0,0,1
17111,2020-05-29,1,0,0,0,0,0
