EVENT_DATE,EVENT_ID_CNTY,fips
2020-05-24,USA4524,24510
2020-05-24,USA4525,17199
2020-05-24,USA4526,39099
2020-05-24,USA4527,34023
2020-05-24,USA4528,36031
2020-05-24,USA4529,36081
2020-05-24,USA14602,36031
2020-05-25,USA4508,27053
2020-05-25,USA4530,17031
2020-05-25,USA4532,37119
2020-05-25,USA4533,21073
2020-05-25,USA4534,37133
2020-05-25,USA4535,42039
2020-05-25,USA4536,34029
2020-05-25,USA4537,25025
2020-05-25,USA4538,33015
2020-05-25,USA13075,04013
2020-05-25,USA14603,17163
2020-05-26,USA4539,27053
2020-05-26,USA4540,12073
2020-05-26,USA4541,26161
2020-05-26,USA4542,18089
2020-05-26,USA4543,26161
2020-05-26,USA4544,06059
2020-05-26,USA4546,48201
2020-05-26,USA4547,06037
2020-05-26,USA4548,42101
2020-05-26,USA4549,51760
2020-05-26,USA4550,18141
2020-05-26,USA4551,27123
2020-05-26,USA4552,27137
2020-05-26,USA4553,06107
2020-05-26,USA4554,17031
2020-05-26,USA10368,24027
2020-05-26,USA14604,26161
2020-05-27,USA4555,27053
2020-05-27,USA4556,41051
2020-05-27,USA4558,27163
2020-05-27,USA4559,26161
2020-05-27,USA4560,37119
2020-05-27,USA4561,12021
2020-05-27,USA4562,45003
2020-05-27,USA4563,27137
2020-05-27,USA4564,24015
2020-05-27,USA4565,06037
2020-05-27,USA4566,47157
2020-05-27,USA4567,36061
2020-05-27,USA4569,37183
2020-05-27,USA4570,06073
2020-05-27,USA4571,06067
2020-05-27,USA4572,42027
2020-05-27,USA4573,53007
2020-05-27,USA4574,29095
2020-05-27,USA4575,40143
2020-05-27,USA4576,36119
2020-05-27,USA4577,08031
2020-05-27,USA10367,27163
2020-05-27,USA10370,26161
2020-05-27,USA14605,26161
2020-05-28,USA4578,27053
2020-05-28,USA4579,25017
2020-05-28,USA4581,08069
2020-05-28,USA4582,08031
2020-05-28,USA4583,35001
2020-05-28,USA4584,39049
2020-05-28,USA4585,27123
2020-05-28,USA4586,26161
2020-05-28,USA4587,41051
2020-05-28,USA4588,19113
2020-05-28,USA4589,01089
2020-05-28,USA4590,41039
2020-05-28,USA4591,26161
2020-05-28,USA4592,06071
2020-05-28,USA4593,27003
2020-05-28,USA4594,27123
2020-05-28,USA4595,27123
2020-05-28,USA4596,06037
2020-05-28,USA4597,27053
2020-05-28,USA4598,29510
2020-05-28,USA4599,53061
2020-05-28,USA4600,27037
2020-05-28,USA4601,47157
2020-05-28,USA4603,27037
2020-05-28,USA4604,23011
2020-05-28,USA4605,48245
2020-05-28,USA4606,01073
2020-05-28,USA4607,27003
2020-05-28,USA4608,25025
2020-05-28,USA4609,12081
2020-05-28,USA4610,27035
2020-05-28,USA4611,17031
2020-05-28,USA4612,45079
2020-05-28,USA4613,27137
2020-05-28,USA4614,48141
2020-05-28,USA4615,41039
2020-05-28,USA4616,41067
2020-05-28,USA4617,42001
2020-05-28,USA4618,06001
2020-05-28,USA4619,26065
2020-05-28,USA4620,32003
2020-05-28,USA4621,32003
2020-05-28,USA4622,06037
2020-05-28,USA4623,21111
2020-05-28,USA4624,36085
2020-05-28,USA4626,06001
2020-05-28,USA4627,31055
2020-05-28,USA4628,04013
2020-05-28,USA4629,26161
2020-05-28,USA4630,42045
2020-05-28,USA4631,06085
2020-05-28,USA4632,06037
2020-05-28,USA4633,12115
2020-05-28,USA4634,27053
2020-05-28,USA4635,27103
2020-05-28,USA4636,06095
2020-05-28,USA4637,12095
2020-05-28,USA4638,29189
2020-05-28,USA4639,24031
2020-05-28,USA4640,47179
2020-05-28,USA4641,08041
2020-05-28,USA4642,48113
2020-05-28,USA4643,06085
2020-05-28,USA4644,36061
2020-05-28,USA4645,34021
2020-05-28,USA4646,23019
2020-05-28,USA4647,23001
2020-05-28,USA4648,23005
2020-05-28,USA10369,27053
2020-05-28,USA10371,27163
2020-05-28,USA10372,26161
2020-05-29,USA4649,37119
2020-05-29,USA4650,32003
2020-05-29,USA4651,06037
2020-05-29,USA4652,47157
2020-05-29,USA4653,06085
2020-05-29,USA4654,06001
2020-05-29,USA4655,04019
2020-05-29,USA4656,48469
2020-05-29,USA4657,36047
2020-05-29,USA4658,18003
2020-05-29,USA4659,18097
2020-05-29,USA4660,55079
2020-05-29,USA4661,27053
2020-05-29,USA4662,02020
