,FIPS,location_name,Life expectancy,Mortality risk
0,1,Alabama,75.64829167,57.46052348
1,1001,Autauga County,75.66802311,58.37361637
2,1003,Baldwin County,78.07568073,50.48666896
3,1005,Barbour County,75.42168312,56.251879200000005
4,1007,Bibb County,73.96740422,61.11004622
5,1009,Blount County,76.16445162,57.86410407
6,1011,Bullock County,73.85905748,56.8315434
7,1013,Butler County,73.39030249,59.32403224
8,1015,Calhoun County,74.02281022,62.39700131
9,1017,Chambers County,74.06034174,60.67284715
10,1019,Cherokee County,75.0811087,58.91817248
11,1021,Chilton County,74.52738607,59.62526007
12,1023,Choctaw County,75.28906806,54.41434469
13,1025,Clarke County,75.46213234,55.71641454
14,1027,Clay County,75.05595391,57.30187988
15,1029,Cleburne County,74.29716905,60.75765079
16,1031,Coffee County,76.48068444,55.82468181
17,1033,Colbert County,75.07178963,58.77488917
18,1035,Conecuh County,74.05050259,56.79679216
19,1037,Coosa County,75.18827303,56.09960741
20,1039,Covington County,75.15398585,57.9139779
21,1041,Crenshaw County,74.06851014,60.79583438
22,1043,Cullman County,75.30541456,59.93032541
23,1045,Dale County,76.25515737,56.11707483
24,1047,Dallas County,72.38922648,63.14436887
25,1049,DeKalb County,75.25138038,60.10914115
26,1051,Elmore County,75.93431563,58.29659553
27,1053,Escambia County,74.15178481,60.33925513
28,1055,Etowah County,73.85404427,62.71700456
29,1057,Fayette County,73.98258812,60.98744615
30,1059,Franklin County,73.30726919,64.07033145
31,1061,Geneva County,75.54368311,57.94025645
32,1063,Greene County,74.05096141,55.60545366
33,1065,Hale County,74.01266996,58.33721712
34,1067,Henry County,75.96750715,54.6622644
35,1069,Houston County,76.80812063,54.59054451
36,1071,Jackson County,74.13013636,63.30507323
37,1073,Jefferson County,75.34314624,56.56090944
38,1075,Lamar County,74.83260966,58.6907017
39,1077,Lauderdale County,76.49725809999998,55.85441722
40,1079,Lawrence County,74.33276038,62.40736784
41,1081,Lee County,76.51751381,57.30305928
42,1083,Limestone County,77.21481692,55.04060376
43,1085,Lowndes County,72.57266331,59.81800276
44,1087,Macon County,72.81199402,57.87952643
45,1089,Madison County,78.06564997,52.44721887
46,1091,Marengo County,74.68026646,57.97444536
47,1093,Marion County,74.53914217,59.40915662
48,1095,Marshall County,74.53037821,60.63151829
49,1097,Mobile County,75.12711493,57.60677187
50,1099,Monroe County,74.9691854,56.86567779
51,1101,Montgomery County,75.83401496,56.30863444
52,1103,Morgan County,76.21298745,57.23490314
53,1105,Perry County,72.30522158,62.06029598
54,1107,Pickens County,74.5516309,59.25085109
55,1109,Pike County,74.90191111,58.0502417
56,1111,Randolph County,74.65191482,57.85759651
57,1113,Russell County,74.42946613,59.86424622
58,1115,Saint Clair County,74.98272864,60.81512682
59,1117,Shelby County,79.53418046,49.5563144
60,1119,Sumter County,74.82131302,54.50504671
61,1121,Talladega County,74.28689529,61.02609038
62,1123,Tallapoosa County,75.01084601,58.58536687
63,1125,Tuscaloosa County,75.79956916,57.84486677
64,1127,Walker County,71.56804807,66.65696168
65,1129,Washington County,74.81607809,57.96930756
66,1131,Wilcox County,72.20820195,59.74409981
67,1133,Winston County,74.51322907,60.83471654
0,2,Alaska,78.41401256,50.42127731
1,2013,Aleutians East Borough,83.72974942,34.70014597
2,2016,Aleutians West Census Area,83.72974942,34.70014597
3,2020,Anchorage Municipality,78.68170594,50.69724281
4,2050,Bethel Census Area,74.28750903,56.44922907
5,2060,Bristol Bay Borough,76.69861359999999,53.22591397
6,2068,Denali Borough,74.49551009999999,52.94173837
