FIPS,State,County,Median Household Income,Population,% Black,% Asian,% Hispanic,% Non-Hispanic White,% Not Proficient in English,% Rural
01000,Alabama,,49881,4887871,26.5,1.5,4.4,65.4,1,41.0
01001,Alabama,Autauga,59338,55601,19.3,1.2,3.0,74.3,1,42.0
01003,Alabama,Baldwin,57588,218022,8.8,1.2,4.6,83.1,1,42.3
01005,Alabama,Barbour,34382,24881,48.0,0.5,4.3,45.6,2,67.8
01007,Alabama,Bibb,46064,22400,21.1,0.2,2.6,74.6,0,68.4
01009,Alabama,Blount,50412,57840,1.5,0.3,9.6,86.9,2,90.0
01011,Alabama,Bullock,29267,10138,69.5,0.2,8.0,21.2,0,51.4
01013,Alabama,Butler,37365,19680,44.6,1.3,1.5,51.3,0,71.2
01015,Alabama,Calhoun,45400,114277,20.9,1.0,3.9,72.0,1,33.7
01017,Alabama,Chambers,39917,33615,39.6,1.3,2.6,55.2,0,49.1
01019,Alabama,Cherokee,42132,26032,4.2,0.3,1.6,91.7,0,85.7
01021,Alabama,Chilton,47547,44153,10.0,0.5,7.9,80.1,2,86.7
01023,Alabama,Choctaw,39907,12841,41.5,0.2,1.0,56.4,0,100.0
01025,Alabama,Clarke,40741,23920,44.3,0.4,1.4,52.5,0,76.0
01027,Alabama,Clay,39201,13275,13.8,0.2,3.0,80.5,0,100.0
01029,Alabama,Cleburne,46495,14987,2.9,0.2,2.5,92.8,1,100.0
01031,Alabama,Coffee,55122,51909,17.2,1.6,7.6,69.9,1,47.2
01033,Alabama,Colbert,49055,54762,16.0,0.6,2.7,78.4,0,43.9
01035,Alabama,Conecuh,32613,12277,45.7,0.2,2.2,50.3,0,80.9
01037,Alabama,Coosa,42423,10715,30.5,0.1,2.5,65.4,0,100.0
01039,Alabama,Covington,40203,36986,12.4,0.5,1.7,83.2,0,69.7
01041,Alabama,Crenshaw,39057,13824,23.2,1.1,2.3,70.9,1,100.0
01043,Alabama,Cullman,45796,83442,1.2,0.7,4.4,91.9,1,73.2
01045,Alabama,Dale,45309,48956,20.5,1.4,6.6,68.4,1,50.9
01047,Alabama,Dallas,34035,38310,70.1,0.6,1.1,27.2,0,45.6
01049,Alabama,DeKalb,39491,71385,1.4,0.5,14.8,80.1,4,90.1
01051,Alabama,Elmore,60367,81887,21.2,0.7,3.0,73.0,1,54.2
01053,Alabama,Escambia,38418,36748,31.4,0.3,2.5,60.2,0,63.5
01055,Alabama,Etowah,44903,102501,15.5,0.8,4.0,77.7,1,37.5
01057,Alabama,Fayette,39254,16433,11.9,0.4,1.8,84.2,0,80.2
01059,Alabama,Franklin,39388,31363,3.9,0.3,17.8,76.2,5,70.4
01061,Alabama,Geneva,37823,26314,9.3,0.3,4.0,83.7,1,89.6
01063,Alabama,Greene,28524,8233,79.6,0.3,1.7,17.5,0,100.0
01065,Alabama,Hale,34724,14726,57.8,0.3,1.4,39.7,0,89.2
01067,Alabama,Henry,46027,17209,25.8,0.4,2.7,69.3,0,87.8
01069,Alabama,Houston,47993,104722,26.9,1.1,3.4,66.3,1,33.8
01071,Alabama,Jackson,41929,51736,3.4,0.6,3.0,89.1,0,77.0
01073,Alabama,Jefferson,55013,659300,43.1,1.8,4.0,49.7,1,9.8
01075,Alabama,Lamar,40936,13844,10.4,0.1,1.7,86.0,0,100.0
01077,Alabama,Lauderdale,48707,92387,9.9,0.8,2.9,84.6,1,49.3
01079,Alabama,Lawrence,43909,32957,10.8,0.2,2.2,76.4,0,91.3
01081,Alabama,Lee,48937,163941,22.8,4.2,3.8,67.5,1,27.4
01083,Alabama,Limestone,64863,96174,13.5,1.6,6.1,76.1,1,57.6
01085,Alabama,Lowndes,33973,9974,71.9,0.4,1.7,25.1,0,100.0
01087,Alabama,Macon,32495,18439,80.0,0.6,1.8,16.1,0,55.5
01089,Alabama,Madison,63755,366519,24.4,2.7,5.1,64.6,1,16.4
01091,Alabama,Marengo,37733,19066,51.1,0.3,2.6,44.9,0,69.3
01093,Alabama,Marion,37887,29763,3.8,0.3,2.6,91.8,1,88.9
01095,Alabama,Marshall,46233,96109,2.4,0.7,14.3,80.4,4,53.3
01097,Alabama,Mobile,43598,413757,35.7,2.1,3.1,56.7,1,20.0
01099,Alabama,Monroe,39556,21067,41.0,0.5,1.6,54.0,0,79.0
01101,Alabama,Montgomery,49640,225763,58.5,3.2,3.5,33.3,1,10.5
01103,Alabama,Morgan,52797,119089,12.7,0.7,8.5,75.3,2,38.6
01105,Alabama,Perry,26814,9140,67.5,0.6,1.4,29.6,0,100.0
01107,Alabama,Pickens,37586,19938,39.8,0.3,4.8,53.9,2,100.0
01109,Alabama,Pike,37259,33338,37.3,2.1,2.4,55.8,1,51.7
01111,Alabama,Randolph,40546,22725,19.4,0.4,2.9,75.3,0,81.3
01113,Alabama,Russell,39104,57781,44.8,0.9,5.6,46.0,1,35.4
01115,Alabama,St. Clair,57284,88690,9.3,0.9,2.5,85.6,0,72.8
01117,Alabama,Shelby,75663,215707,12.9,2.3,5.8,77.5,2,22.9
01119,Alabama,Sumter,27859,12691,71.4,2.0,1.2,24.6,0,100.0
01121,Alabama,Talladega,41630,79828,32.6,0.7,2.4,62.5,0,55.8
01123,Alabama,Tallapoosa,42205,40497,26.8,0.6,2.4,68.8,0,74.2
01125,Alabama,Tuscaloosa,52557,208911,31.8,1.6,3.9,61.2,1,25.5
01127,Alabama,Walker,45434,63711,6.1,0.6,2.6,88.9,1,74.1
01129,Alabama,Washington,44424,16378,23.3,0.9,1.6,65.1,1,100.0
01131,Alabama,Wilcox,25385,10627,70.7,0.2,1.4,26.6,1,100.0
01133,Alabama,Winston,41156,23660,0.8,0.4,3.2,93.7,0,84.9
02000,Alaska,,74912,737438,3.4,6.6,7.2,60.3,2,34.0
02013,Alaska,Aleutians East,70081,3515,10.4,43.4,14.7,8.6,13,100.0
02016,Alaska,Aleutians West,82633,5723,6.5,41.2,13.8,23.2,8,100.0
02020,Alaska,Anchorage,82113,291538,5.4,10.1,9.3,57.3,2,4.1
02050,Alaska,Bethel,44304,18216,0.9,1.0,2.4,9.6,3,73.9
02060,Alaska,Bristol Bay,77257,877,0.8,1.4,7.5,43.4,0,100.0
02068,Alaska,Denali,75477,2059,2.1,5.3,3.2,80.0,0,100.0
02070,Alaska,Dillingham,54524,5000,0.7,0.9,3.8,15.2,1,100.0
02090,Alaska,Fairbanks North Star,74268,98971,4.9,3.5,8.4,69.3,1,30.9
02100,Alaska,Haines,58943,2474,0.6,1.1,3.2,77.4,1,100.0
02105,Alaska,Hoonah-Angoon,51188,2151,1.9,1.5,6.4,45.8,0,
02110,Alaska,Juneau,79173,32113,1.2,7.0,6.8,64.3,1,21.5
02122,Alaska,Kenai Peninsula,65439,58533,0.7,1.8,4.3,80.1,1,79.3
02130,Alaska,Ketchikan Gateway,68309,13918,0.9,8.4,5.8,63.2,1,23.2
02150,Alaska,Kodiak Island,74109,13345,1.0,22.2,8.8,49.1,6,31.3
02158,Alaska,Kusilvak,32728,8303,0.4,0.5,2.6,3.5,1,
02164,Alaska,Lake and Peninsula,49403,1587,1.0,3.2,3.5,22.3,0,100.0
02170,Alaska,Matanuska-Susitna,74649,107610,1.1,1.8,5.1,79.0,1,50.3
02180,Alaska,Nome,55318,10008,0.8,1.5,2.5,14.9,1,66.1
02185,Alaska,North Slope,89276,9872,1.5,6.1,4.3,31.0,1,59.3
02188,Alaska,Northwest Arctic,59337,7671,1.1,0.8,3.8,10.9,1,57.5
02195,Alaska,Petersburg,66075,3221,2.1,3.3,6.0,71.2,1,
02198,Alaska,Prince of Wales-Hyder,49356,6422,0.5,1.0,3.7,45.5,0,
02220,Alaska,Sitka,71825,8647,0.9,8.1,7.0,61.1,1,20.9
02230,Alaska,Skagway,74635,1148,0.7,2.5,5.5,81.4,0,
02240,Alaska,Southeast Fairbanks,63527,6918,1.6,2.4,6.4,72.9,3,100.0
02261,Alaska,Valdez-Cordova,68528,9164,0.9,4.8,5.3,69.1,0,100.0
02275,Alaska,Wrangell,57832,2503,0.5,3.3,3.0,66.9,1,
02282,Alaska,Yakutat,59523,604,2.0,6.8,4.6,32.6,1,100.0
02290,Alaska,Yukon-Koyukuk,38912,5327,0.8,0.4,2.8,21.8,0,100.0
04000,Arizona,,59079,7171646,4.4,3.7,31.6,54.4,5,10.2
04001,Arizona,Apache,33652,71818,0.5,0.4,6.4,18.1,6,74.1
04003,Arizona,Cochise,49164,126770,3.9,2.3,35.6,54.9,5,36.3
04005,Arizona,Coconino,60187,142854,1.3,2.1,14.3,54.0,2,31.5
04007,Arizona,Gila,43585,53889,0.6,0.9,18.7,62.0,2,41.1
04009,Arizona,Graham,50157,38072,1.5,0.7,33.1,51.0,2,46.4
04011,Arizona,Greenlee,65818,9483,1.7,0.9,47.3,45.8,3,46.6
04012,Arizona,La Paz,37350,21098,0.9,1.0,28.1,56.7,4,56.3
04013,Arizona,Maricopa,65234,4410824,5.5,4.6,31.3,54.9,5,2.4
04015,Arizona,Mohave,45129,209550,1.1,1.2,16.8,76.9,2,23.0
